City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Sahuaripa,MX,2020-08-26 02:19:07,29.05,-109.23,86.09,32,0,0.83
70,Lompoc,US,2020-08-26 02:15:14,34.64,-120.46,66.2,82,75,10.29
71,Hithadhoo,MV,2020-08-26 02:15:58,-0.6,73.08,82.04,75,100,8.28
72,Plouzane,FR,2020-08-26 02:19:07,48.38,-4.62,60.8,93,20,5.82
73,Yellowknife,CA,2020-08-26 02:16:02,62.46,-114.35,55.4,93,90,8.05
74,Tiarei,PF,2020-08-26 02:19:08,-17.53,-149.33,82.4,65,40,8.05
75,Serebryanyy Bor,RU,2020-08-26 02:19:08,56.8,124.8,43.61,92,100,7.34
76,Vila Velha,BR,2020-08-26 02:15:31,-20.33,-40.29,68.0,64,78,13.87
77,Tekeli,KZ,2020-08-26 02:19:08,44.83,78.82,62.47,52,44,4.59
78,Sao Sebastiao,BR,2020-08-26 02:19:08,-23.76,-45.41,60.01,75,20,3.47
79,Sakakah,SA,2020-08-26 02:19:09,29.97,40.21,86.0,20,0,9.17
80,Saint-Philippe,RE,2020-08-26 02:19:09,-21.36,55.77,68.0,63,20,6.93
81,Luderitz,NA,2020-08-26 02:16:38,-26.65,15.16,53.83,78,0,6.85
82,Chulym,RU,2020-08-26 02:19:09,55.1,80.96,53.49,90,84,9.69
83,Lyngdal,NO,2020-08-26 02:19:10,58.14,7.07,57.0,82,100,14.0
84,Gijon,ES,2020-08-26 02:16:21,43.54,-5.66,71.01,74,82,1.01
85,Tomari,RU,2020-08-26 02:19:10,47.77,142.07,71.6,73,24,9.82
86,Portland,US,2020-08-26 02:16:52,45.52,-122.68,80.01,34,1,9.17
87,Bridlington,GB,2020-08-26 02:18:34,54.08,-0.19,62.6,88,100,13.87
88,Ribeira Grande,PT,2020-08-26 02:19:12,38.52,-28.7,74.01,91,20,20.47
89,Raudeberg,NO,2020-08-26 02:19:12,61.99,5.14,46.0,94,0,10.69
90,Buta,CD,2020-08-26 02:19:12,2.79,24.73,69.08,98,88,1.9
91,Bud,US,2020-08-26 02:19:13,39.45,-86.18,80.01,88,75,2.59
92,Atar,MR,2020-08-26 02:19:13,20.52,-13.05,84.38,50,88,7.58
93,Ushtobe,KZ,2020-08-26 02:19:13,45.25,77.98,66.07,49,0,21.39
94,Port Alfred,ZA,2020-08-26 02:15:58,-33.59,26.89,61.79,74,76,24.11
95,Sitka,US,2020-08-26 02:19:14,57.05,-135.33,57.2,87,90,8.05
96,Chinchani,IN,2020-08-26 02:19:14,19.87,72.7,80.62,83,47,13.38
97,Katsuura,JP,2020-08-26 02:19:14,35.13,140.3,91.0,74,20,4.7
98,Narsaq,GL,2020-08-26 02:19:14,60.92,-46.05,42.8,75,0,3.36
99,Kota Belud,MY,2020-08-26 02:19:15,6.35,116.43,86.0,79,20,4.7
100,Kodiak,US,2020-08-26 02:19:16,57.79,-152.41,59.38,64,0,4.16
101,Pevek,RU,2020-08-26 02:19:16,69.7,170.31,36.73,93,100,12.39
102,Krosno,PL,2020-08-26 02:19:17,49.69,21.77,54.0,88,0,5.14
103,Nyurba,RU,2020-08-26 02:19:17,63.28,118.33,57.74,39,0,4.0
104,Mauriti,BR,2020-08-26 02:19:17,-7.39,-38.77,70.25,78,15,9.37
105,Sobolevo,RU,2020-08-26 02:19:17,54.43,31.9,55.45,96,100,8.16
106,Constitucion,CL,2020-08-26 02:16:47,-35.33,-72.42,50.4,85,76,17.16
107,Am Timan,TD,2020-08-26 02:19:17,11.03,20.28,70.86,96,100,4.25
108,Torbay,CA,2020-08-26 02:16:11,47.67,-52.73,59.0,87,75,17.22
109,Los Llanos De Aridane,ES,2020-08-26 02:19:18,28.66,-17.92,73.4,83,14,14.99
110,Cassilandia,BR,2020-08-26 02:19:19,-19.11,-51.73,70.83,35,6,6.02
111,Bathsheba,BB,2020-08-26 02:19:19,13.22,-59.52,82.4,78,20,14.99
112,San Patricio,MX,2020-08-26 02:16:39,19.22,-104.7,84.2,74,90,11.41
113,Sechura,PE,2020-08-26 02:19:19,-5.56,-80.82,61.48,78,2,13.24
114,Novikovo,RU,2020-08-26 02:19:19,51.15,37.89,62.01,45,3,7.14
115,Suleja,NG,2020-08-26 02:19:20,9.18,7.18,75.2,88,100,3.36
116,Kawalu,ID,2020-08-26 02:19:20,-7.38,108.21,76.24,77,89,5.1
117,Santa Rosa,PH,2020-08-26 02:16:14,14.31,121.11,89.01,74,62,12.75
118,Port Elizabeth,ZA,2020-08-26 02:19:20,-33.92,25.57,60.8,67,75,20.8
119,Marawi,PH,2020-08-26 02:19:21,8.0,124.29,84.0,74,100,5.01
120,Mar Del Plata,AR,2020-08-26 02:18:27,-38.0,-57.56,52.0,100,90,4.7
121,Gat,IL,2020-08-26 02:19:22,31.61,34.76,75.0,42,0,1.01
122,Busselton,AU,2020-08-26 02:19:23,-33.65,115.33,64.99,56,88,2.48
123,Longyearbyen,SJ,2020-08-26 02:19:23,78.22,15.64,39.2,84,40,11.41
124,Esperance,AU,2020-08-26 02:19:23,-33.87,121.9,57.2,100,40,2.24
125,Constantine,DZ,2020-08-26 02:19:24,36.37,6.61,64.4,68,0,2.24
126,Zverinogolovskoye,RU,2020-08-26 02:19:24,54.46,64.85,60.46,92,82,11.56
127,Walvis Bay,NA,2020-08-26 02:19:25,-22.96,14.51,55.99,76,0,6.93
128,Harper,LR,2020-08-26 02:19:25,4.38,-7.72,74.66,83,100,6.69
129,Provideniya,RU,2020-08-26 02:19:25,64.38,-173.3,53.6,76,75,8.95
130,Dzilam Gonzalez,MX,2020-08-26 02:19:25,21.28,-88.93,77.27,94,100,4.68
131,Muroto,JP,2020-08-26 02:19:27,33.28,134.15,89.6,70,40,12.75
132,Chifeng,CN,2020-08-26 02:19:27,42.27,118.96,78.82,43,100,3.67
133,Ancud,CL,2020-08-26 02:18:12,-41.87,-73.82,48.99,100,98,3.36
134,Pokhara,NP,2020-08-26 02:19:28,28.23,83.98,77.79,75,33,0.89
135,Thompson,CA,2020-08-26 02:15:57,55.74,-97.86,51.8,87,90,6.93
136,Kayerkan,RU,2020-08-26 02:19:28,69.35,87.76,57.2,82,40,6.71
137,Aconibe,GQ,2020-08-26 02:19:28,1.3,10.94,66.63,99,100,2.24
138,Chkalovskoye,RU,2020-08-26 02:19:29,44.84,133.04,78.93,75,89,2.71
139,Kaitangata,NZ,2020-08-26 02:19:29,-46.28,169.85,52.0,49,64,8.01
140,Nikolskoye,RU,2020-08-26 02:16:05,59.7,30.79,57.2,87,40,4.47
141,Keuruu,FI,2020-08-26 02:19:29,62.27,24.7,48.99,93,0,3.36
142,Kapit,MY,2020-08-26 02:19:29,2.02,112.93,82.65,84,56,1.21
143,Freetown,SL,2020-08-26 02:15:01,8.48,-13.23,75.6,90,100,9.04
144,Grindavik,IS,2020-08-26 02:19:30,63.84,-22.43,46.4,75,75,1.12
145,Hays,US,2020-08-26 02:19:30,30.05,-98.03,87.01,51,2,1.01
146,Puerto Ayora,EC,2020-08-26 02:19:30,-0.74,-90.35,66.99,89,29,3.0
147,Hamilton,US,2020-08-26 02:17:51,39.18,-84.53,75.0,94,40,2.71
148,Pleshanovo,RU,2020-08-26 02:19:31,52.83,53.48,60.31,86,0,1.9
149,Castro,BR,2020-08-26 02:17:20,-24.79,-50.01,49.71,98,15,7.76
150,Dobrinka,RU,2020-08-26 02:19:31,52.17,40.47,61.11,43,0,8.28
151,San Policarpo,PH,2020-08-26 02:19:32,12.18,125.51,85.68,69,39,5.23
152,Arraial Do Cabo,BR,2020-08-26 02:15:47,-22.97,-42.03,60.8,93,20,2.24
153,Komsomolskiy,UZ,2020-08-26 02:18:06,40.43,71.72,71.6,46,96,6.93
154,Bambous Virieux,MU,2020-08-26 02:16:18,-20.34,57.76,69.8,83,75,16.11
155,Canmore,CA,2020-08-26 02:19:33,51.08,-115.35,66.2,45,75,5.82
156,Roma,US,2020-08-26 02:16:53,43.21,-75.46,64.4,68,1,4.7
157,Muravlenko,RU,2020-08-26 02:19:33,63.79,74.52,52.21,87,0,5.06
158,Chapaevsk,RU,2020-08-26 02:19:33,52.98,49.71,57.2,93,50,4.47
159,Ostrovnoy,RU,2020-08-26 02:19:34,68.05,39.51,48.25,66,18,11.54
160,Sao Filipe,CV,2020-08-26 02:16:08,14.9,-24.5,78.98,86,1,4.03
161,Turkan,AZ,2020-08-26 02:19:34,40.36,50.22,62.6,88,0,6.93
162,Fort Frances,CA,2020-08-26 02:19:34,48.6,-93.4,70.0,68,75,8.05
163,Victoria,HK,2020-08-26 02:19:35,22.29,114.16,91.0,74,2,5.99
164,Birin,NP,2020-08-26 02:19:35,26.89,88.07,70.63,94,51,4.16
165,Vigonza,IT,2020-08-26 02:19:35,45.43,11.96,69.01,76,0,4.0
166,Mongo,TD,2020-08-26 02:19:35,12.18,18.69,71.22,94,100,1.54
167,Russkiy Aktash,RU,2020-08-26 02:19:36,55.04,52.12,57.2,100,40,6.71
168,Souillac,MU,2020-08-26 02:19:36,-20.52,57.52,69.8,83,75,16.11
169,Valparaiso,CL,2020-08-26 02:19:36,-33.04,-71.63,51.01,77,83,12.53
170,Alice Springs,AU,2020-08-26 02:17:19,-23.7,133.88,77.0,14,0,6.93
171,Biloela,AU,2020-08-26 02:19:36,-24.42,150.5,70.11,24,0,11.21
172,Terrace,CA,2020-08-26 02:19:37,54.52,-128.6,55.4,82,90,12.75
173,Cherskiy,RU,2020-08-26 02:16:32,68.75,161.3,40.39,88,100,3.71
174,Salalah,OM,2020-08-26 02:19:37,17.02,54.09,75.2,100,90,5.82
175,Knittelfeld,AT,2020-08-26 02:19:38,47.22,14.82,61.0,93,98,1.12
176,Namibe,AO,2020-08-26 02:19:38,-15.2,12.15,65.41,83,73,6.26
177,Saltpond,GH,2020-08-26 02:19:38,5.21,-1.06,72.55,92,9,5.91
178,Altud,RU,2020-08-26 02:19:38,43.72,43.87,53.6,81,0,4.47
179,Grand-Lahou,CI,2020-08-26 02:19:38,5.14,-5.02,72.81,89,54,6.26
180,Talnakh,RU,2020-08-26 02:17:24,69.49,88.4,57.2,82,40,6.71
181,Gimli,CA,2020-08-26 02:19:40,50.63,-96.99,73.99,99,76,8.01
182,Kirakira,SB,2020-08-26 02:17:13,-10.45,161.92,79.41,86,100,8.7
183,Chokurdakh,RU,2020-08-26 02:16:28,70.63,147.92,41.18,81,100,5.12
184,Isangel,VU,2020-08-26 02:19:41,-19.55,169.27,77.0,83,90,16.75
185,Rio Grande,BR,2020-08-26 02:16:21,-32.03,-52.1,61.0,90,90,5.99
186,Port Hardy,CA,2020-08-26 02:15:57,50.7,-127.42,62.6,67,75,11.41
187,Amazar,RU,2020-08-26 02:19:42,53.86,120.88,61.48,49,46,6.87
188,Poum,NC,2020-08-26 02:16:31,-20.23,164.02,70.77,75,30,14.43
189,Zhaotong,CN,2020-08-26 02:19:42,27.32,103.72,69.04,64,0,2.13
190,Barrow,US,2020-08-26 02:15:01,71.29,-156.79,39.2,93,90,10.29
191,Danszentmiklos,HU,2020-08-26 02:19:42,47.21,19.55,59.0,93,0,4.7
192,Butaritari,KI,2020-08-26 02:19:43,3.07,172.79,81.99,70,3,7.72
193,Kavieng,PG,2020-08-26 02:17:05,-2.57,150.8,85.1,68,68,8.75
194,Gryazi,RU,2020-08-26 02:19:43,52.5,39.94,59.0,87,0,11.18
195,Kochevo,RU,2020-08-26 02:19:44,59.6,54.31,51.39,98,98,5.17
196,Matay,EG,2020-08-26 02:16:05,28.42,30.78,75.56,54,0,8.77
197,Yulara,AU,2020-08-26 02:19:44,-25.24,130.99,73.4,18,0,6.93
198,Jutai,BR,2020-08-26 02:19:44,-5.18,-68.9,74.23,57,98,1.66
199,Yaan,NG,2020-08-26 02:19:45,7.38,8.57,71.49,92,96,1.12
200,Chapais,CA,2020-08-26 02:16:59,49.78,-74.85,46.4,93,90,11.41
201,Mahebourg,MU,2020-08-26 02:19:45,-20.41,57.7,69.8,83,75,16.11
202,Alamogordo,US,2020-08-26 02:18:45,32.9,-105.96,88.0,21,1,8.05
203,Terrasini,IT,2020-08-26 02:19:46,38.15,13.08,78.01,73,0,5.82
204,Meulaboh,ID,2020-08-26 02:17:10,4.14,96.13,80.85,76,96,4.25
205,Toba,JP,2020-08-26 02:19:46,34.48,136.85,82.99,87,9,8.01
206,Saskylakh,RU,2020-08-26 02:19:47,71.92,114.08,64.62,43,57,8.12
207,Zhuanghe,CN,2020-08-26 02:19:47,39.7,122.99,77.0,96,76,1.99
208,Yeppoon,AU,2020-08-26 02:17:34,-23.13,150.73,73.4,27,0,6.93
209,Mount Isa,AU,2020-08-26 02:16:41,-20.73,139.5,80.6,12,0,11.41
210,Gizo,SB,2020-08-26 02:19:48,-8.1,156.84,84.61,72,8,10.54
211,Carnarvon,AU,2020-08-26 02:19:48,-24.87,113.63,66.2,59,0,19.46
212,Nagai,JP,2020-08-26 02:19:48,38.1,140.03,91.0,74,20,3.36
213,The Valley,AI,2020-08-26 02:17:20,18.22,-63.06,82.99,83,40,10.29
214,Ayan,RU,2020-08-26 02:19:49,56.45,138.17,54.23,88,100,13.35
215,Aloleng,PH,2020-08-26 02:19:49,16.13,119.78,84.99,74,76,13.82
216,Fairbanks,US,2020-08-26 02:16:20,64.84,-147.72,57.99,82,90,5.82
217,Qaanaaq,GL,2020-08-26 02:19:50,77.48,-69.36,36.95,88,100,7.36
218,Caapucu,PY,2020-08-26 02:19:50,-26.22,-57.2,71.73,59,0,11.54
219,Gamba,GA,2020-08-26 02:19:50,-2.65,10.0,74.28,87,100,6.89
220,Leningradskiy,RU,2020-08-26 02:18:12,69.38,178.42,38.19,90,100,13.24
221,Odweyne,SO,2020-08-26 02:19:51,9.41,45.06,73.47,54,35,17.27
222,Gunjur,GM,2020-08-26 02:19:51,13.2,-16.73,80.33,84,100,10.0
223,Jiayuguan,CN,2020-08-26 02:19:51,39.82,98.3,85.12,14,0,1.61
224,Karratha,AU,2020-08-26 02:19:52,-20.74,116.85,86.61,23,49,6.13
225,Olinda,BR,2020-08-26 02:19:52,-8.01,-34.86,73.4,88,40,9.17
226,Emirdag,TR,2020-08-26 02:19:52,39.02,31.15,65.44,63,0,2.82
227,Norsup,VU,2020-08-26 02:19:53,-16.07,167.38,84.2,74,40,13.87
228,Poya,NC,2020-08-26 02:16:49,-21.35,165.15,75.54,50,67,11.95
229,Tazovskiy,RU,2020-08-26 02:16:00,67.47,78.7,52.45,93,100,2.84
230,East London,ZA,2020-08-26 02:19:53,-33.02,27.91,63.25,66,18,24.9
231,Codrington,AU,2020-08-26 02:16:15,-38.27,141.97,53.15,65,61,8.46
232,Bubaque,GW,2020-08-26 02:19:54,11.28,-15.83,80.65,79,100,13.15
233,Lewisporte,CA,2020-08-26 02:19:54,49.25,-55.05,59.0,87,90,21.92
234,Kavaratti,IN,2020-08-26 02:16:35,10.57,72.64,81.66,73,99,13.76
235,Taua,BR,2020-08-26 02:19:54,-5.97,-40.3,77.07,41,44,7.23
236,Linares,CL,2020-08-26 02:15:00,-35.85,-71.6,47.44,85,93,10.2
237,Aksu,CN,2020-08-26 02:19:55,41.12,80.26,82.89,25,0,4.07
238,Nome,US,2020-08-26 02:16:08,64.5,-165.41,53.6,76,90,5.01
239,Avera,US,2020-08-26 02:19:55,33.19,-82.53,78.8,86,40,4.7
240,Ucluelet,CA,2020-08-26 02:19:56,48.93,-125.55,62.6,77,5,13.87
241,Burewala,PK,2020-08-26 02:17:57,30.17,72.65,86.81,65,100,6.26
