City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Namatanai,PG,-3.67,152.43,79.54,81,67,8.5,broken clouds
84,Grand Gaube,MU,-20.01,57.66,73.0,71,1,11.01,clear sky
85,Vaini,TO,-21.2,-175.2,75.2,83,75,10.29,broken clouds
86,Hamilton,US,39.18,-84.53,75.99,83,90,5.82,overcast clouds
87,Saint-Pierre,RE,-21.34,55.48,73.4,69,14,17.22,few clouds
88,Ilulissat,GL,69.22,-51.1,44.6,70,20,4.7,few clouds
89,New Norfolk,AU,-42.78,147.06,52.0,60,73,3.51,broken clouds
90,Teya,RU,60.38,92.63,53.35,88,86,2.53,overcast clouds
91,Qaanaaq,GL,77.48,-69.36,38.57,69,0,4.74,clear sky
92,Jalu,LY,29.03,21.55,100.29,16,0,7.63,clear sky
93,Esperantinopolis,BR,-4.87,-44.71,92.73,34,0,6.8,clear sky
94,Port Hardy,CA,50.7,-127.42,48.2,93,40,5.82,scattered clouds
95,Castro,BR,-24.79,-50.01,76.01,48,0,6.73,clear sky
96,Saldanha,ZA,-33.01,17.94,53.6,46,42,16.11,scattered clouds
97,Sao Filipe,CV,14.9,-24.5,80.87,79,100,3.36,overcast clouds
98,Cortes,ES,41.94,-1.44,75.2,35,75,17.22,broken clouds
99,San Quintin,MX,30.48,-115.95,69.21,82,0,6.78,clear sky
100,Kyren,RU,51.68,102.14,53.8,83,100,1.43,moderate rain
101,Hithadhoo,MV,-0.6,73.08,82.8,75,100,14.5,overcast clouds
102,Haimen,CN,23.19,116.61,86.0,74,100,6.71,overcast clouds
103,Bengkulu,ID,-3.8,102.27,78.89,85,70,7.74,broken clouds
104,Tura,IN,25.52,90.22,75.13,94,30,3.98,scattered clouds
105,Songea,TZ,-10.68,35.65,78.8,50,40,17.22,scattered clouds
106,Karoi,ZW,-16.81,29.69,91.09,15,0,2.95,clear sky
107,Pavilosta,LV,56.89,21.19,59.0,100,100,6.93,drizzle
108,Leh,IN,34.17,77.58,64.44,24,0,4.79,clear sky
109,Cidreira,BR,-30.18,-50.21,70.57,69,88,5.97,overcast clouds
110,Axim,GH,4.87,-2.24,80.17,71,93,12.77,overcast clouds
111,Jamestown,US,42.1,-79.24,73.0,88,75,12.75,light rain
112,Pevek,RU,69.7,170.31,38.75,88,100,2.82,overcast clouds
113,Padang,ID,-0.95,100.35,79.07,80,94,4.18,light rain
114,Igarka,RU,67.47,86.58,57.81,71,0,5.66,clear sky
115,Yumen,CN,40.28,97.2,61.25,44,41,6.49,scattered clouds
116,Samarai,PG,-10.62,150.67,78.22,87,65,14.25,light rain
117,Bredasdorp,ZA,-34.53,20.04,51.8,50,98,8.05,overcast clouds
118,Beisfjord,NO,68.38,17.6,55.4,54,76,6.93,broken clouds
119,Bilma,NE,18.69,12.92,100.54,24,92,4.99,overcast clouds
120,Khatanga,RU,71.97,102.5,53.73,64,97,8.66,overcast clouds
121,Ramhormoz,IR,31.28,49.6,113.0,9,0,13.87,clear sky
122,Yellowknife,CA,62.46,-114.35,46.4,100,90,16.11,light rain
123,Keuruu,FI,62.27,24.7,59.0,62,75,4.7,broken clouds
124,Ayan,RU,56.45,138.17,53.92,69,0,2.04,clear sky
125,Caloundra,AU,-26.8,153.13,60.01,87,43,9.66,scattered clouds
126,Tezu,IN,27.92,96.17,76.48,83,41,3.78,scattered clouds
127,Mitha Tiwana,PK,32.25,72.11,95.99,37,11,4.81,few clouds
128,Katsuura,JP,35.13,140.3,82.4,88,75,11.41,broken clouds
129,Mar Del Plata,AR,-38.0,-57.56,53.6,76,100,10.29,overcast clouds
130,Roald,NO,62.58,6.13,55.99,71,90,12.75,overcast clouds
131,Arlit,NE,18.74,7.39,95.38,34,1,10.0,clear sky
132,Cape Town,ZA,-33.93,18.42,54.0,54,75,19.46,broken clouds
133,Luau,AO,-10.71,22.22,90.1,29,11,4.14,few clouds
134,Lunca De Jos,RO,46.57,25.98,91.0,48,0,5.77,clear sky
135,Plainview,US,40.78,-73.47,78.01,90,100,8.39,overcast clouds
136,Kungurtug,RU,50.6,97.52,47.7,86,100,1.5,light rain
137,Longyearbyen,SJ,78.22,15.64,41.0,89,75,19.46,broken clouds
138,Kholmogory,RU,64.22,41.66,51.8,93,75,11.18,light intensity shower rain
139,Torbay,CA,47.67,-52.73,64.0,63,40,23.04,scattered clouds
140,Husavik,IS,66.04,-17.34,53.6,71,75,12.75,broken clouds
141,Mana,GF,5.66,-53.78,86.41,64,74,5.68,broken clouds
142,Tommot,RU,58.96,126.29,55.15,60,100,4.54,overcast clouds
143,Keffi,NG,8.85,7.87,80.6,74,40,6.93,scattered clouds
144,Preobrazheniye,RU,42.9,133.91,63.43,89,100,19.51,moderate rain
145,Mufulira,ZM,-12.55,28.24,93.13,17,40,1.68,scattered clouds
146,Emerald,AU,-23.53,148.17,64.4,68,0,12.75,clear sky
147,Caravelas,BR,-17.71,-39.25,80.31,61,14,6.98,few clouds
148,Oktyabrskoye,RU,43.06,44.74,78.8,57,28,2.24,scattered clouds
149,Wabana,CA,47.63,-52.95,64.0,63,40,23.04,scattered clouds
150,Valparaiso,CL,-33.04,-71.63,55.4,66,2,8.05,clear sky
151,Filadelfia,US,39.95,-75.16,75.2,100,90,10.29,light rain
152,Saskylakh,RU,71.92,114.08,54.43,60,100,4.43,overcast clouds
153,Lebu,CL,-37.62,-73.65,45.23,62,2,14.41,clear sky
154,Henties Bay,NA,-22.12,14.28,63.0,68,0,14.0,clear sky
155,Kwinana,AU,-32.25,115.77,52.0,81,12,7.74,few clouds
156,Butaritari,KI,3.07,172.79,82.4,73,5,13.33,clear sky
157,Tasiilaq,GL,65.61,-37.64,42.8,70,75,29.97,light rain
158,Lahad Datu,MY,5.03,118.33,79.48,83,27,2.35,scattered clouds
159,Zyryanka,RU,65.75,150.85,37.02,91,0,3.83,clear sky
160,Santa Maria,BR,-29.68,-53.81,68.0,94,20,3.36,few clouds
161,Svetlyy,RU,54.67,20.13,71.01,77,75,11.18,broken clouds
162,Christchurch,NZ,-43.53,172.63,59.0,33,17,12.75,few clouds
163,Shingu,JP,33.73,135.98,77.22,89,0,2.91,clear sky
164,Carnarvon,AU,-24.87,113.63,64.4,82,0,14.99,clear sky
165,Port Macquarie,AU,-31.43,152.92,46.99,93,6,5.3,clear sky
166,Rio Gallegos,AR,-51.62,-69.22,33.8,64,75,17.22,broken clouds
167,Aljezur,PT,37.32,-8.8,70.0,72,0,5.99,clear sky
168,Dores Do Indaia,BR,-19.46,-45.6,77.45,46,0,7.09,clear sky
169,Mahebourg,MU,-20.41,57.7,71.6,83,75,12.75,shower rain
170,Hauterive,FR,46.09,3.45,73.4,55,7,5.82,clear sky
171,Mount Gambier,AU,-37.83,140.77,62.6,29,100,23.04,overcast clouds
172,Malpe,IN,13.35,74.72,78.8,83,40,4.68,scattered clouds
173,Cravo Norte,CO,6.3,-70.2,82.33,78,47,8.57,light rain
174,Ust-Omchug,RU,61.15,149.63,33.12,92,0,5.3,clear sky
175,Sorland,NO,67.67,12.69,49.62,65,89,7.25,overcast clouds
176,Neiafu,TO,-18.65,-173.98,77.0,73,75,14.99,broken clouds
177,Mao,ES,39.89,4.27,77.0,78,75,17.22,broken clouds
178,Kilindoni,TZ,-7.91,39.67,77.77,74,4,12.77,clear sky
179,Richards Bay,ZA,-28.78,32.04,70.9,75,71,7.61,broken clouds
180,Westport,US,41.14,-73.36,75.2,88,90,8.05,light rain
181,Luderitz,NA,-26.65,15.16,59.65,53,37,22.55,scattered clouds
182,North Bend,US,43.41,-124.22,57.99,93,20,11.41,few clouds
183,Ouallam,NE,14.32,2.09,88.43,53,100,16.84,overcast clouds
184,Suntar,RU,62.14,117.63,53.56,96,99,3.27,light rain
185,Paita,PE,-5.09,-81.11,62.6,82,96,24.16,overcast clouds
186,Xuddur,SO,4.12,43.89,86.11,42,76,18.99,broken clouds
187,Beringovskiy,RU,63.05,179.32,50.32,88,100,17.36,light rain
188,Cadiz,ES,36.5,-5.75,81.0,54,30,10.8,scattered clouds
189,Svetlaya,RU,46.54,138.33,58.51,84,100,13.89,overcast clouds
190,Asau,RO,46.43,26.4,88.0,48,0,6.62,clear sky
191,Jalingo,NG,8.88,11.37,83.28,70,89,4.94,light rain
192,Port Blair,IN,11.67,92.75,83.12,78,58,8.19,broken clouds
193,Dingle,PH,11.0,122.67,76.68,87,100,2.62,overcast clouds
